0,0,1,0
390,428,0,1
0,443962,1,0
0,642,1,0
1,0,1,0
271,305,0,1
8897,8386,1,1
0,733212,1,0
16963,16149,1,1
2699,2656,1,1
0,0,1,0
0,36081,1,0
10904,10502,1,1
8863,7977,1,1
721,730,0,1
145,187,0,1
1746,1751,0,1
316,340,0,1
0,230069,1,0
0,843794,1,0
0,51338,1,0
2472,2364,1,1
17681,17116,1,1
0,84995,1,0
18962,17324,1,1
363,362,1,1
1395,1372,1,1
0,2036528,1,0
9071,8837,1,1
358,354,1,1
0,17119,1,0
15,0,1,0
0,982909,1,0
4018,3933,1,1
0,87019,1,0
25023,24617,1,1
51,35,1,1
23368,22351,1,1
1579,7571,0,1
0,142127,1,0
8954,8177,1,1
219,245,0,1
0,55543,1,0
13099,12550,1,1
0,21956,1,0
6703,6430,1,1
3063,2878,1,1
2216,1976,1,1
4528,3430,1,1
386,372,1,1
46698,46272,1,1
569,569,0,1
1493,1449,1,1
836,738,1,1
11083,10892,1,1
25230,26022,0,1
18581,17533,1,1
15674,15182,1,1
0,45782,1,0
3875,3727,1,1
143,147,0,1
649,626,1,1
588,582,1,1
0,51813,1,0
76150,314155,0,1
30,25,1,1
0,85991,1,0
11070,8977,1,1
0,428121,1,0
0,10054,1,0
0,170576,1,0
693,0,1,0
1,21,0,1
23602,22661,1,1
9,13,0,1
162,185,0,1
438,351,1,1
509,504,1,1
7410,6183,1,1
19427,19007,1,1
1475,1295,1,1
0,210,1,0
10987,10331,1,1
3056,2459,1,1
2123,1824,1,1
754,768,0,1
0,40325,1,0
24531,21083,1,1
2201,2168,1,1
25681,23830,1,1
0,2251082,1,0
0,370067,1,0
40,54,0,1
0,294455,1,0
5006,4839,1,1
15929,13833,1,1
0,191,1,0
0,261000,1,0
130,77,1,1
24456,24050,1,1
27942,26738,1,1
29789,28107,1,1
2184,2025,1,1
66,83,0,1
24562,22854,1,1
26688,22724,1,1
0,396944,1,0
0,34190,1,0
48920,47776,1,1
5539,4951,1,1
11849,11749,1,1
2752,2380,1,1
0,20997,1,0
0,875319,1,0
0,234721,1,0
8384,7841,1,1
0,95938,1,0
0,589266,1,0
52,79,0,1
365,236,1,1
4,1,1,1
8770,8170,1,1
5901,5607,1,1
22,12,1,1
7109,8873,0,1
2736,2736,0,1
3171,0,1,0
0,274494,1,0
26,50,0,1
1353,1252,1,1
69,53,1,1
52,46,1,1
11675,8837,1,1
64448,63026,1,1
0,50533,1,0
58161,55188,1,1
592,468,1,1
0,243414,1,0
17568,16865,1,1
14989,13655,1,1
5390,5122,1,1
4671,4471,1,1
0,58380,1,0
1291,989,1,1
0,20101,1,0
4129,3928,1,1
0,27023,1,0
0,4890429,1,0
0,1305965,1,0
1523,1343,1,1
0,0,1,0
0,1256224,1,0
493,431,1,1
0,0,1,0
5548,5337,1,1
44522,42525,1,1
0,0,1,0
814,744,1,1
25238,23794,1,1
0,20210,1,0
26564,24812,1,1
0,8962,1,0
0,0,1,0
28,8,1,1
3025,0,1,0
16248,0,1,0
0,25664,1,0
217,211,1,1
98512,0,1,0
0,1370910,1,0
95173,93120,1,1
1206,1065,1,1
40,45,0,1
19762,19095,1,1
4752,4521,1,1
0,373054,1,0
238,471,0,1
0,57234,1,0
6643,6436,1,1
0,76946,1,0
0,182542,1,0
75,136,0,1
0,332580,1,0
0,1714375,1,0
28717,26675,1,1
669,3042,0,1
24105,23700,1,1
921,1014,0,1
36793,34896,1,1
0,79159,1,0
0,8918,1,0
965,979,0,1
23402,22713,1,1
0,89617,1,0
0,50838,1,0
41611,40849,1,1
1630,1561,1,1
0,24451,1,0
0,54877,1,0
190,175,1,1
41249,0,1,0
16716,16304,1,1
11296,46637,0,1
21801,21175,1,1
22505,21842,1,1
1792,1529,1,1
36,30,1,1
364,426,0,1
0,1147143,1,0
0,200172,1,0
37767,37515,1,1
0,0,1,0
0,5676,1,0
8404,7871,1,1
4874,4458,1,1
14019,13966,1,1
30637,29671,1,1
25090,23095,1,1
3084,2933,1,1
0,42515,1,0
0,143793,1,0
64092,58890,1,1
0,186268,1,0
0,399873,1,0
39918,37018,1,1
18484,18027,1,1
259,193,1,1
12744,17271,0,1
28251,27129,1,1
19055,17673,1,1
5628,5146,1,1
82931,77683,1,1
0,219602,1,0
5400,4786,1,1
0,0,1,0
901,801,1,1
11630,10717,1,1
3469,3129,1,1
4198,3626,1,1
0,0,1,0
0,18461600,1,0
26570,102425,0,1
